Target,Accessions,Compounds
Protein S100-A2,P29034,1
Transcription initiation factor IIE subunit beta,P29084,1
Inositol monophosphatase 1,P29218,1
Protein cereblon/Tyrosine-protein phosphatase non-receptor type 6,P29350|Q96SW2,1
Baculoviral IAP repeat-containing protein 2/Cellular retinoic acid-binding protein 2,P29373|Q13490,1
Protein cereblon/Lysine-specific demethylase 5A,P29375|Q96SW2,1
Protein cereblon/Lysine-specific demethylase 5A/Lysine-specific demethylase 5B,P29375|Q96SW2|Q9UGL1,1
Protein PML,P29590,1
"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial",P29803,1
CD40 ligand,P29965,1
Myristoylated alanine-rich C-kinase substrate,P29966,1
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",P30038,1
Endoplasmic reticulum resident protein 29,P30040,1
G1/S-specific cyclin-D3,P30281,1
Protein cereblon/Cyclin-dependent kinase 6/G1/S-specific cyclin-D3,P30281|Q00534|Q96SW2,1
Adenosine receptor A1/Alpha-2A adrenergic receptor,P30542|P08913,1
Protein cereblon/Adenosine receptor A1,P30542|Q96SW2,1
Adenylosuccinate lyase,P30566,1
Sorcin,P30626,1
Leukocyte elastase inhibitor,P30740,1
Serotonin 1 (5-HT1) receptor,P30939|P28222|P08908|P28221|P28566,1
Rab GDP dissociation inhibitor alpha,P31150,1
Cytotoxic granule associated RNA binding protein TIA1,P31483,1
Flavin-containing monooxygenase,P31513|Q99518|P31512|P49326|Q01740,1
Transcription factor HIVEP2,P31629,1
Serine/threonine-protein kinase Rac alpha/beta,P31751|P31749,1
"3-hydroxyisobutyrate dehydrogenase, mitochondrial",P31937,1
Melanocortin receptor 3/5,P33032|P41968,1
Cyclin-dependent kinases regulatory subunit 2,P33552,1
Protein S100-A5,P33763,1
Syndecan-2,P34741,1
Macrosialin,P34810,1
Heat shock 70 kDa protein 1-like,P34931,1
Profilin-2,P35080,1
Axin1/beta-catenin,P35222|O15169,1
Catenin beta-1/BCL9L,P35222|Q86UU0,1
Axin-2/Catenin beta-1,P35222|Q9Y2T1,1
Serpin B6,P35237,1
Radixin,P35241,1
Replication protein A 14 kDa subunit,P35244,1
Replication factor C subunit 2,P35250,1
General transcription factor IIF subunit 1,P35269,1
Sodium channel protein type 4 subunit alpha/beta-1/beta-2,P35499|O60939|Q07699,1
Basigin,P35613,1
Protein DEK,P35659,1
Transcription factor SOX-18,P35713,1
