Target,Accessions,Compounds
Sialidase-2,Q9Y3R4,233
COUP transcription factor 2,P24468,234
cAMP-dependent protein kinase catalytic subunit gamma,P22612,235
Putative heat shock protein HSP 90-beta 2,Q58FF8,235
Carbonic anhydrases; II & IX,P00918|Q16790,236
Neuromedin-U receptor 2,Q9GZQ4,236
Tankyrase 1/2,Q9H2K2|O95271,236
DNA replication licensing factor MCM4,P33991,237
Hepcidin,P81172,237
Ribose-phosphate pyrophosphokinase 1,P60891,238
Ras-related protein Rab-10,P61026,238
Actin-related protein 3,P61158,238
Synaptic vesicular amine transporter,Q05940,238
Hydroxycarboxylic acid receptor 1,Q9BXC0,238
NADPH oxidase 4,Q9NPH5,238
"Cytochrome c1, heme protein, mitochondrial",P08574,239
M-phase inducer phosphatase 3,P30307,239
Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2,P37231|Q9Y618,239
Ubiquitin-like modifier-activating enzyme ATG7,O95352,240
Probable ATP-dependent RNA helicase DDX6,P26196,240
Baculoviral IAP repeat-containing protein 3,Q13489,240
Midasin,Q9NU22,240
GABA-A receptor; alpha-6/beta-3/gamma-2,P18507|P28472|Q16445,241
Peptidyl-prolyl cis-trans isomerase FKBP4,Q02790,241
Nuclear receptor coactivator 1,Q15788,241
"Interleukin-8 receptors, CXCR1/CXCR2",P25025|P25024,242
Adenosine receptors; A1 & A2a,P30542|P29274,242
Serotonin 2 (5-HT2) receptor,P41595|P28223|P28335,242
Nuclear receptor coactivator 3,Q9Y6Q9,242
Structural maintenance of chromosomes protein 2,O95347,243
Phosphatidylinositol 4-kinase alpha,P42356,243
"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",P49748,243
ADP/ATP translocase 3,P12236,244
Diacylglycerol kinase zeta,Q13574,244
Cry1/Cry2,Q49AN0|Q16526,244
Neuromedin-U receptor 1,Q9HB89,244
Phenylalanine--tRNA ligase beta subunit,Q9NSD9,244
Septin-9,Q9UHD8,244
Peroxisomal acyl-coenzyme A oxidase 3,O15254,245
"Dynamin-like GTPase OPA1, mitochondrial",O60313,245
General transcription and DNA repair factor IIH helicase subunit XPD,P18074,245
26S proteasome regulatory subunit 6B,P43686,245
"Elongation factor Tu, mitochondrial",P49411,245
Uncharacterized protein FLJ45252,Q6ZSR9,245
AarF domain-containing protein kinase 1,Q86TW2,245
5'-AMP-activated protein kinase subunit gamma-2,Q9UGJ0,245
Glycine--tRNA ligase,P41250,246
Exosome RNA helicase MTR4,P42285,246
Neuropilin-1,O14786,247
DnaJ homolog subfamily A member 1,P31689,247
GTP-binding nuclear protein Ran,P62826,247
cAMP-dependent protein kinase type II-alpha regulatory subunit,P13861,248
RNA cytidine acetyltransferase,Q9H0A0,248
Microtubule-associated serine/threonine-protein kinase 1,Q9Y2H9,248
Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,O14638,249
ADP/ATP translocase 2,P05141,249
Integrin alpha-V/beta-8,P06756|P26012,249
ATP-dependent RNA helicase DDX1,Q92499,249
Sterol O-acyltransferase 2,O75908,250
Hormonally up-regulated neu tumor-associated kinase,P57058,250
Vesicular acetylcholine transporter,Q16572,250
Neuropeptide FF receptor 1,Q9GZQ6,250
Cathepsin L2,O60911,252
Transient receptor potential cation channel subfamily M member 2,O94759,252
Coagulation factor XIII A chain,P00488,252
Phosphoglycerate kinase,P00558|P07205,252
Uncharacterized serine/threonine-protein kinase SBK3,P0C264,252
Dynamin-1,Q05193,252
Advanced glycosylation end product-specific receptor,Q15109,252
Sialidase-3,Q9UQ49,252
Integrin alpha-V/beta-1,P05556|P06756,253
UDP-glucuronosyltransferase 1A1,P22309,253
"Adenylate kinase 2, mitochondrial",P54819,253
Cyclin-dependent kinase 15,Q96Q40,253
Serotonin 1 receptors; 5-HT1B & 5-HT1D,P28222|P28221,254
Adenosine receptors; A1 & A2b,P30542|P29275,255
5'-AMP-activated protein kinase subunit gamma-1,P54619,256
Bcl-2-related protein A1,Q16548,256
DNA (cytosine-5)-methyltransferase 3A,Q9Y6K1,256
Cytochrome P450 26A1,O43174,257
Thrombin & trypsin,P00734|P07477|P07478|P35030,257
HSP60/HSP10,P10809|P61604,257
DNA-binding protein Ikaros,Q13422,257
"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",O60658,258
Choline kinase alpha,P35790,258
Actin-related protein 2,P61160,258
Mitogen-activated protein kinase kinase kinase 15,Q6ZN16,258
"Fatty acid-binding protein, heart",P05413,259
Acrosin,P10323,259
NPC1-like intracellular cholesterol transporter 1,Q9UHC9,259
Legumain,Q99538,260
Pyridoxal kinase,O00764,261
"Endothelin receptor, ET-A/ET-B",P24530|P25101,261
Serine/threonine-protein kinase/endoribonuclease IRE2,Q76MJ5,261
Protein arginine N-methyltransferase 8,Q9NR22,261
Serine/threonine-protein kinase 32A,Q8WU08,262
Mitogen-activated protein kinase 4,P31152,263
Chromodomain-helicase-DNA-binding protein 4,Q14839,263
Ankyrin repeat and protein kinase domain-containing protein 1,Q8NFD2,263
Potassium channel subfamily K member 2,O95069,264
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",P19174,264
Hexokinase-1,P19367,264
"Heat shock protein 75 kDa, mitochondrial",Q12931,264
2-acylglycerol O-acyltransferase 2,Q3SYC2,264
Protein mono-ADP-ribosyltransferase PARP10,Q53GL7,264
TAK1/TAB1,Q15750|O43318,266
NEDD8 activating enzyme,Q8TBC4|Q13564,266
Tryptase beta-1,Q15661,267
Serine/threonine-protein kinase 36,Q9NRP7,267
Neuropeptide FF receptor 2,Q9Y5X5,267
CTP synthase 1,P17812,268
Ribonucleotide reductase,P23921|Q7LG56,269
Neurotensin receptor type 2,O95665,270
Breakpoint cluster region protein,P11274,270
Dopamine receptors; D3 & D4,P35462|P21917,270
STE20-related kinase adapter protein alpha,Q7RTN6,270
Myosin-IIIa,Q8NEV4,270
Serine/threonine-protein kinase 35,Q8TDR2,270
Dual serine/threonine and tyrosine protein kinase,Q6XUX3,271
Multidrug and toxin extrusion protein 2,Q86VL8,271
Galanin receptor type 3,O60755,272
Heme oxygenase 2,P30519,272
Protein polybromo-1,Q86U86,272
Serine/threonine-protein kinase MAK,P20794,273
Hemoglobin subunit beta,P68871,273
Cyclin-dependent kinase-like 3,Q8IVW4,273
Adenosine deaminase,P00813,274
Catechol O-methyltransferase,P21964,274
Lactoylglutathione lyase,Q04760,274
Vascular endothelial growth factor receptor,P17948|P35916|P35968,275
Thyrotropin-releasing hormone receptor,P34981,275
Dual specificity mitogen-activated protein kinase kinase; MEK1/2,P36507|Q02750,275
Wee1-like protein kinase 2,P0C1S8,276
"Tyrosine--tRNA ligase, cytoplasmic",P54577,276
"Troponin, cardiac muscle",P63316|P19429|P45379,276
Aldehyde oxidase,Q06278,276
Serine/threonine-protein kinase SBK1,Q52WX2,276
"Atypical kinase COQ8B, mitochondrial",Q96D53,276
Serine/threonine-protein kinase VRK1,Q99986,276
Lutropin-choriogonadotropic hormone receptor,P22888,277
Delta(24)-sterol reductase,Q15392,277
Serine/threonine-protein kinase RIO3,O14730,278
"Glutamate receptor ionotropic, kainate 1",P39086,278
Neuronal acetylcholine receptor; alpha9/alpha10,Q9UGM1|Q9GZZ6,278
Mitogen-activated protein kinase kinase kinase 13,O43283,279
Growth arrest-specific protein 6,Q14393,279
G protein-coupled receptor kinase 3,P35626,280
"Malonyl-CoA decarboxylase, mitochondrial",O95822,281
Adenylate cyclase type 1,Q08828,281
Mucolipin-3,Q8TDD5,281
EKC/KEOPS complex subunit TP53RK,Q96S44,281
Serine/threonine-protein kinase WNK1,Q9H4A3,282
Peripheral plasma membrane protein CASK,O14936,283
Fibroblast growth factor receptor,P22607|P11362|P22455|P21802,283
Hepatic sodium/bile acid cotransporter,Q14973,283
Protein cereblon/Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,Q96SW2|P15170,283
Chromatin remodeling regulator CECR2,Q9BXF3,283
Dopamine receptors; D2 & D4,P14416|P21917,284
UDP-glucuronosyltransferase 2B7,P16662,284
Tyrosine-protein kinase receptor Tie-1,P35590,284
Toll-like receptor 1/2,O60603|Q15399,285
Opioid receptors; mu/kappa/delta,P41145|P41143|P35372,285
Transcription initiation factor TFIID subunit 1,P21675,286
Hydroxycarboxylic acid receptor 3,P49019,286
C3a anaphylatoxin chemotactic receptor,Q16581,286
Metabotropic glutamate receptor 6,O15303,287
Ubiquitin carboxyl-terminal hydrolase 9X,Q93008,287
Serine/threonine-protein kinase RIO1,Q9BRS2,287
Histone-lysine N-methyltransferase EHMT1,Q9H9B1,287
Metabotropic glutamate receptor 8,O00222,288
Casein kinase I isoform alpha-like,Q8N752,289
Serine/threonine-protein kinase DCLK3,Q9C098,289
Serine/threonine-protein kinase LATS,Q9NRM7|O95835,289
Toll-like receptor 3,O15455,290
Sphingosine-1-phosphate lyase 1,O95470,290
Phenylethanolamine N-methyltransferase,P11086,291
Phospholipid hydroperoxide glutathione peroxidase GPX4,P36969,291
Serine/threonine-protein kinase PRP4 homolog,Q13523,291
Lysophosphatidic acid receptor 2,Q9HBW0,291
CREB-binding protein/Histone acetyltransferase p300,Q09472|Q92793,292
SNF-related serine/threonine-protein kinase,Q9NRH2,292
Cyclin-dependent kinase 11A,Q9UQ88,292
Multidrug and toxin extrusion protein 1,Q96FL8,293
Gastrin-releasing peptide receptor,P30550,294
C-C chemokine receptor type 8,P51685,294
Cyclin-dependent kinase-like 2,Q92772,294
U5 small nuclear ribonucleoprotein 200 kDa helicase,O75643,295
mTORC1,P42345|Q8N122|Q9BVC4,295
Thymidine phosphorylase,P19971,296
Cyclin-dependent kinase 11B,P21127,297
Protein arginine N-methyltransferase 3,O60678,298
Transcription factor Jun,P05412,298
Protein cereblon/Androgen receptor,P10275|Q96SW2,298
Acid ceramidase,Q13510,298
Melanin-concentrating hormone receptor 2,Q969V1,298
COX-1/COX-2,P35354|P23219,299
CAAX prenyl protease 2,Q9Y256,299
Chromobox protein homolog 7,O95931,300
Acetylcholine receptor; alpha1/beta1/delta/gamma,P02708|P07510|P11230|Q07001,301
METTL3/METTL14,Q86U44|Q9HCE5,301
Adenosine receptors; A2a & A3,P0DMS8|P29274,302
Receptor-interacting serine/threonine-protein kinase 4,P57078,302
Serine/threonine-protein kinase NIM1,Q8IY84,305
Short transient receptor potential channel 5,Q9UL62,305
Excitatory amino acid transporter 1,P43003,306
Ubiquitin carboxyl-terminal hydrolase 25,Q9UHP3,307
Tryptase,Q9BZJ3|Q15661|Q9NRR2,308
Prolactin-releasing peptide receptor,P49683,309
Myosin-IIIb,Q8WXR4,309
1-phosphatidylinositol 3-phosphate 5-kinase,Q9Y2I7,309
Adenosine receptors; A2b & A3,P29275|P0DMS8,310
Cyclin-dependent kinase 18,Q07002,310
DCN1-like protein 1,Q96GG9,310
Solute carrier organic anion transporter family member 2B1,O94956,312
Cytochrome P450 3A5,P20815,312
Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,P22234,312
Cyclin-dependent kinase 14,O94921,314
Phospholipase D2,O14939,315
"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3)",O43526|O43525,315
Catenin beta-1,P35222,315
Squalene synthase,P37268,315
"Glutathione reductase, mitochondrial",P00390,316
Stromelysin-2,P09238,316
Prokineticin receptor 1,Q8TCW9,316
Mas-related G-protein coupled receptor member X4,Q96LA9,316
Receptor-type tyrosine-protein phosphatase beta,P23467,317
Monoamine transporters; serotonin & dopamine,P31645|Q01959,317
Excitatory amino acid transporter 3,P43005,317
Acidic mammalian chitinase,Q9BZP6,317
Prostaglandin E synthase 2,Q9H7Z7,317
Histone-lysine N-methyltransferase SETD7,Q8WTS6,320
Mitogen-activated protein kinase kinase kinase 19,Q56UN5,321
T1R1/T1R3,Q7RTX0|Q7RTX1,321
Activin receptor type-2A,P27037,322
Monoacylglycerol lipase ABHD6,Q9BV23,322
Chitotriosidase-1,Q13231,323
Lysophosphatidic acid receptor 3,Q9UBY5,323
Hypoxanthine-guanine phosphoribosyltransferase,P00492,324
Peptidyl-prolyl cis-trans isomerase FKBP5,Q13451,324
Small ubiquitin-related modifier 1,P63165,325
Sulfonylurea receptors; K-ATP channels,Q14654|O60706|Q09428|Q15842,325
RNA 5'-monophosphate methyltransferase,Q7Z5W3,325
"Serine hydroxymethyltransferase, mitochondrial",P34897,326
NADPH oxidase 1,Q9Y5S8,326
Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,Q99755,328
Taste receptor type 2 member 8,Q9NYW2,329
Cytochrome P450,P08684|P04798|P33260|P20815|P05177|P78329|P11712|P51589|P33261|P10632|P10635|Q02928|P20813|Q16678|P11509|Q9HB55|P05181|P24462|Q8TAV3|Q08477|Q16696|P98187|P20853|P24903|Q6VVX0|Q96SQ9|Q7Z449|Q5TCH4|P13584,330
Serine/threonine-protein kinase 32B,Q9NY57,330
"Vascular endothelial growth factor A, long form",P15692,331
Phospholipase D1,Q13393,331
G protein-coupled receptor kinase 4,P32298,332
TCF4/beta-catenin,P35222|Q9NQB0,334
Serine/threonine-protein kinase Nek5,Q6P3R8,334
Potassium-transporting ATPase,P20648|P51164,336
Phosphatidylinositol 3-kinase regulatory subunit alpha,P27986,336
Myosin light chain kinase family member 4,Q86YV6,336
2-Hydroxyacid oxidase 1,Q9UJM8,336
Signal transducer and activator of transcription 6,P42226,337
KiSS-1 receptor,Q969F8,337
Solute carrier family 22 member 1,O15245,339
Ceramide glucosyltransferase,Q16739,341
Sodium channel protein type 2 subunit alpha,Q99250,341
Ephrin type-A receptor 6,Q9UF33,341
Excitatory amino acid transporter 2,P43004,343
Serine/threonine-protein kinase 32C,Q86UX6,344
Ubiquitin carboxyl-terminal hydrolase 28,Q96RU2,344
Sodium/hydrogen exchanger 1,P19634,346
G-protein coupled receptor 183,P32249,347
17-beta-hydroxysteroid dehydrogenase 13,Q7Z5P4,347
Exportin-1,O14980,348
Neuropeptide Y receptor type 4,P50391,348
"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Q8N5Z0,348
Cyclin-C/Cyclin-dependent kinase 19,Q9BWU1|P24863,349
Chymotrypsin-C,Q99895,350
CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase),Q9UBU7|O00311,350
STE20/SPS1-related proline-alanine-rich protein kinase,Q9UEW8,350
Interleukin-1 beta,P01584,351
beta-catenin-B-cell lymphoma 9 protein complex,P35222|O00512,352
Metabotropic glutamate receptor 3,Q14832,352
Adenosylhomocysteinase,P23526,353
Aldo-keto reductase family 1 member C4,P17516,355
Microtubule-associated protein 1 light chain 3 beta,Q9GZQ8,355
"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Q16740,357
"3',5'-cyclic-AMP phosphodiesterase 4C",Q08493,358
Sodium/potassium-transporting ATPase,P05023|P14415|P05026|P50993|P54709|P13637|Q13733|P54710,359
Receptor tyrosine-protein kinase erbB-3,P21860,359
Nicotinamide N-methyltransferase,P40261,360
Voltage-dependent T-type calcium channel subunit alpha-1I,Q9P0X4,360
Glutathione S-transferase P,P09211,362
LSD1/CoREST complex,O60341|Q9UKL0,366
Casein kinase 2,P67870|P68400|P19784|Q8NEV1,367
Ubiquitin carboxyl-terminal hydrolase 14,P54578,368
Membrane-bound ghrelin O-acyltransferase MBOAT4,Q96T53,368
Alpha amylase,P0DUB6,369
Hormone-sensitive lipase,Q05469,369
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4,P51532,370
Relaxin receptor 2,Q8WXD0,370
Cyclin-T1,O60563,371
Thrombopoietin receptor,P40238,371
Nuclear receptor subfamily 1 group I member 3,Q14994,371
"Thymidine kinase, cytosolic",P04183,373
Diacylglycerol lipase-alpha,Q9Y4D2,373
G-protein coupled receptor 52,Q9Y2T5,374
"Aldehyde dehydrogenase, mitochondrial",P05091,375
Leukotriene B4 receptor,Q9NPC1|Q15722,375
17-beta-hydroxysteroid dehydrogenase type 3,P37058,377
Cyclin-dependent kinase-like 5,O76039,378
Major prion protein,P04156,378
Histone acetyltransferase p300/Histone acetyltransferase type B catalytic subunit,Q09472|O14929,379
Probable G-protein coupled receptor 139,Q6DWJ6,379
Nuclear receptor subfamily 5 group A member 2,O00482,380
Plasminogen activator inhibitor 1,P05121,380
Nuclear receptor subfamily 4 group A member 2,P43354,380
Metabotropic glutamate receptor 7,Q14831,380
Bombesin receptor subtype-3,P32247,381
"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",P33316,381
Glutamate receptor 1,P42261,381
Corticotropin-releasing factor receptor 2,Q13324,381
Protein arginine N-methyltransferase 6,Q96LA8,381
Transcriptional enhancer factor TEF-1,P28347,382
GTPase NRas,P01111,384
Mitogen-activated protein kinase kinase kinase 10,Q02779,385
Deoxycytidine kinase,P27707,387
Period circadian protein homolog 2,O15055,388
"Glycogen phosphorylase, brain form",P11216,388
Perforin-1,P14222,388
Sodium/calcium exchanger 1,P32418,388
SOS1-KRAS,Q07889|P01116,388
Hepatocyte nuclear factor 4-alpha,P41235,389
Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma,O75747,390
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,P78356,390
Rhodopsin kinase GRK1,Q15835,390
Cocaine esterase,O00748,392
Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,O60331,392
P-selectin,P16109,392
Monocarboxylate transporter 1,P53985,392
Estrogen-related receptor gamma,P62508,392
Lysine-specific demethylase 6B,O15054,393
Tolloid-like protein 2,Q9Y6L7,393
Kir3.1/Kir3.4,P48549|P48544,395
Ileal sodium/bile acid cotransporter,Q12908,395
Carboxypeptidase B2,Q96IY4,395
Tolloid-like protein 1,O43897,397
Serine/threonine-protein kinase tousled-like 1,Q9UKI8,397
Porphobilinogen deaminase,P08397,402
C-C chemokine receptor type 9,P51686,402
Solute carrier family 15 member 1,P46059,403
Serine/threonine-protein kinase WNK3,Q9BYP7,403
Cholecystokinin receptor,P32239|P32238,406
"Myosin light chain kinase 2, skeletal/cardiac muscle",Q9H1R3,406
Fibroblast growth factor 22,Q9HCT0,407
ATP-dependent RNA helicase DDX3X,O00571,408
DNA repair and recombination protein RAD54-like,Q92698,409
Vitamin K-dependent protein C,P04070,411
Endoplasmin,P14625,411
Thrombopoietin,P40225,411
Proteinase-activated receptor 2,P55085,411
Steroidogenic factor 1,Q13285,411
Cyclin-dependent kinase-like 1,Q00532,413
Endoplasmic reticulum aminopeptidase 2,Q6P179,413
Nuclear receptor ROR-alpha,P35398,414
Serine/threonine-protein kinase A-Raf,P10398,415
Calcium-activated potassium channel subunit alpha-1,Q12791,416
Galectin-1,P09382,417
Retinol-binding protein 4,P02753,418
Steroid hormone receptor ERR1,P11474,418
Potassium channel subfamily K member 9,Q9NPC2,421
ATPase family AAA domain-containing protein 2,Q6PL18,422
Soluble guanylate cyclase alpha1/beta1 complex,Q02153|Q02108,423
"Acetyl-coenzyme A synthetase, cytoplasmic",Q9NR19,424
Monocarboxylate transporter 4,O15427,427
Programmed cell death 1 ligand 1/2,Q9NZQ7|Q9BQ51,427
Hepatic triacylglycerol lipase,P11150,428
Mitogen-activated protein kinase kinase kinase 8,P41279,428
Bromodomain testis-specific protein,Q58F21,428
Arginase-1,P05089,429
Anoctamin-1,Q5XXA6,429
PI3-kinase class I,P27986|P42338|P48736|P42336|O00459|O00329|Q8WYR1|Q92569,430
Opioid growth factor receptor-like protein 1,Q5TC84,430
P2X purinoceptor 4,Q99571,431
EZH2/SUZ12/EED complex,Q15910|O75530|Q15022,432
Serine/threonine-protein kinase WNK2,Q9Y3S1,432
G protein-coupled receptor 88,Q9GZN0,435
Hematopoietic prostaglandin D synthase,O60760,437
DNA repair protein RAD51 homolog 1,Q06609,438
Hexokinase HKDC1,Q2TB90,438
Purine nucleoside phosphorylase,P00491,439
Adhesion G-protein coupled receptor F1,Q5T601,439
Protein-S-isoprenylcysteine O-methyltransferase,O60725,440
"Solute carrier family 2, facilitated glucose transporter member 4",P14672,440
"Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha",Q16665|Q99814,440
P2Y purinoceptor 4,P51582,442
Serine/threonine-protein kinase 38-like,Q9Y2H1,443
Serine/threonine-protein kinase OSR1,O95747,444
Ephrin type-B receptor 6,O15197,446
26S proteasome non-ATPase regulatory subunit 14,O00487,447
Ketohexokinase,P50053,447
Sodium channel protein type 4 subunit alpha,P35499,448
Transcription factor p65,Q04206,448
NAD-dependent protein deacylase sirtuin-6,Q8N6T7,448
Carbonic anhydrase 3,P07451,449
Tyrosine-protein kinase Mer/Tyrosine-protein kinase receptor UFO,P30530|Q12866,449
Calcium/calmodulin-dependent protein kinase kinase 1,Q8N5S9,449
Serine/threonine-protein kinase MRCK gamma,Q6DT37,450
Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1,Q00975|Q02410,451
"Histone-lysine N-methyltransferase, H3 lysine-79 specific",Q8TEK3,451
Cyclin-dependent kinase 17,Q00537,452
Pyruvate dehydrogenase kinase,Q15119|Q15120|Q16654|Q15118,452
Scaffold protein ILK,Q13418,453
Myosin light chain kinase,Q32MK0,453
von Hippel-Lindau disease tumor suppressor,P40337,454
"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",Q9HCR9,455
Sentrin-specific protease 1,Q9P0U3,456
M-phase inducer phosphatase 1,P30304,457
Glutamate receptor 2,P42262,458
Growth factor receptor-bound protein 2,P62993,458
Geranylgeranyl pyrophosphate synthase,O95749,461
Nuclear receptor subfamily 4immunitygroup A member 1,P22736,463
Carbonic anhydrase 13,Q8N1Q1,464
Methionine aminopeptidase 1,P53582,465
Chemerin-like receptor 1,Q99788,465
Pantetheinase,O95497,467
Serotonin 3 (5-HT3) receptor,P46098|A5X5Y0|O95264|Q70Z44|Q8WXA8,467
Serine/threonine-protein kinase ICK,Q9UPZ9,467
GTP-binding protein Rheb,Q15382,469
Mitogen-activated protein kinase kinase kinase 6,O95382,470
Phosphodiesterase 1,P54750|Q01064|Q14123,471
Eukaryotic translation initiation factor 4E,P06730,472
Lysosomal Pro-X carboxypeptidase,P42785,472
Interleukin-2,P60568,472
SUMO-activating enzyme,Q9UBE0|Q9UBT2,474
A disintegrin and metalloproteinase with thrombospondin motifs 4,O75173,476
"Atypical kinase COQ8A, mitochondrial",Q8NI60,477
Platelet-derived growth factor receptor,P09619|P16234,478
dCTP pyrophosphatase 1,Q9H773,479
Eukaryotic translation initiation factor 2-alpha kinase 3,Q9NZJ5,480
"Solute carrier family 2, facilitated glucose transporter member 2",P11168,481
20S proteasome,P49721|P20618|P28074|P28062|P28065|P28072|P25786|P25787|P25788|P25789|P28066|P60900|O14818|Q8TAA3|P40306|A5LHX3|P49720|P28070|Q99436,482
Melatonin receptor,P48039|P49286,483
Photoreceptor-specific nuclear receptor,Q9Y5X4,483
Activin receptor type-2B,Q13705,484
Ferroportin,Q9NP59,484
Translocator protein,P30536,486
Stearoyl-CoA desaturase 5,Q86SK9,486
Protein disulfide-isomerase,P07237,487
Cytochrome P450 4A11,Q02928,488
Nuclear receptor ROR-beta,Q92753,488
Gamma-aminobutyric acid receptor subunit alpha-1,P14867,489
Retinoic acid receptor RXR-gamma,P48443,490
Histone-binding protein RBBP4/Histone-lysine N-methyltransferase EZH2/Polycomb protein EED/Polycomb protein SUZ12/Zinc finger protein AEBP2,Q15910|O75530|Q15022|Q6ZN18|Q09028,490
Insulin-degrading enzyme,P14735,491
Aldo-keto reductase family 1 member C1,Q04828,491
Dual specificity testis-specific protein kinase 1,Q15569,491
Nuclear receptor subfamily 0 group B member 1,P51843,492
"Carnitine O-palmitoyltransferase 1, muscle isoform",Q92523,492
Sodium/hydrogen exchanger 3,P48764,494
Cyclin-dependent kinase 19,Q9BWU1,494
Adrenergic receptor alpha-2,P08913|P18825|P18089,495
Heparanase,Q9Y251,495
PCSK9/LDLR,Q8NBP7|P01130,496
Cyclin-dependent kinase 3,Q00526,497
L-lactate dehydrogenase B chain,P07195,498
"Carnitine O-palmitoyltransferase 2, mitochondrial",P23786,499
Integrin alpha-V/beta-5,P06756|P18084,501
B-cell lymphoma 6 protein,P41182,501
Cytochrome P450 4F2,P78329,502
"Carnitine O-palmitoyltransferase 1, liver isoform",P50416,503
"3',5'-cyclic-AMP phosphodiesterase 7B",Q9NP56,503
Voltage-gated L-type calcium channel,Q13936|Q13698|Q01668|O60840,505
Interleukin-1 receptor-associated kinase 3,Q9Y616,505
Mitogen-activated protein kinase kinase kinase 4,Q9Y6R4,505
Serine/threonine-protein kinase 38,Q15208,509
Calcium/calmodulin-dependent protein kinase type 1G,Q96NX5,509
Cyclic GMP-AMP synthase,Q8N884,510
Tyrosine-protein phosphatase non-receptor type 5,P54829,511
Serine/threonine-protein kinase Nek11,Q8NG66,513
Histone-lysine N-methyltransferase ASH1L,Q9NR48,514
Serine/threonine-protein kinase TNNI3K,Q59H18,516
N-acylethanolamine-hydrolyzing acid amidase,Q02083,517
Transient receptor potential cation channel subfamily V member 3,Q8NET8,517
"Solute carrier family 2, facilitated glucose transporter member 3",P11169,519
AMP-activated protein kinase (AMPK) alpha-1/beta-1/gamma-1,P54619|Q9Y478|Q13131,519
Serine/threonine-protein kinase RIO2,Q9BVS4,519
CX3C chemokine receptor 1,P49238,520
Cyclin-dependent kinase 13,Q14004,522
Serine/threonine-protein kinase ULK2,Q8IYT8,522
Endothelin-converting enzyme 1,P42892,526
cAMP-dependent protein kinase catalytic subunit beta,P22694,527
Mannan-binding lectin serine protease 2,O00187,531
Glycylpeptide N-tetradecanoyltransferase 1,P30419,531
Dopamine receptors; D2 & D3,P14416|P35462,532
Alpha-ketoglutarate-dependent dioxygenase FTO,Q9C0B1,532
E-selectin,P16581,533
Histone acetyltransferase KAT5,Q92993,536
Leucyl-cystinyl aminopeptidase,Q9UIQ6,536
Epoxide hydrolase 1,P07099,537
Integrin alpha-4/beta-7,P13612|P26010,537
Mitogen-activated protein kinase kinase kinase 3,Q99759,538
Cyclin-dependent kinase 12,Q9NYV4,538
Interleukin-8,P10145,540
Retinoic acid receptor RXR-beta,P28702,540
Steroid 21-hydroxylase,P08686,541
Sodium-dependent phosphate transport protein 2A,Q06495,542
Beta-glucuronidase,P08236,544
Histone acetyltransferase KAT7,O95251,546
N-formyl peptide receptor 3,P25089,550
Gastric inhibitory polypeptide receptor,P48546,550
C-C chemokine receptor type 6,P51684,550
Fatty acid-binding protein 5,Q01469,550
Death-associated protein kinase 2,Q9UIK4,550
3-oxo-5-alpha-steroid 4-dehydrogenase 1,P18405,551
Farnesyl pyrophosphate synthase,P14324,555
Mitogen-activated protein kinase; ERK1/ERK2,P27361|P28482,555
Platelet-activating factor acetylhydrolase,Q13093,556
"Interferon-induced, double-stranded RNA-activated protein kinase",P19525,557
Mitogen-activated protein kinase kinase kinase 2,Q9Y2U5,557
Mitogen-activated protein kinase kinase kinase 1,Q13233,558
Histone deacetylase (HDAC1 and HDAC2),Q13547|Q92769,558
Eukaryotic translation initiation factor 2-alpha kinase 1,Q9BQI3,558
Protein Wnt-3a,P56704,559
DNA topoisomerase 2-beta,Q02880,559
Serine/threonine-protein kinase VRK2,Q86Y07,559
Dual specificity mitogen-activated protein kinase kinase 3,P46734,560
Neuropeptides B/W receptor type 1,P48145,560
Serine/threonine-protein kinase 25,O00506,561
Bone morphogenetic protein receptor type-2,Q13873,561
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2,P51531,562
Suppressor of tumorigenicity 14 protein,Q9Y5Y6,562
Intestinal-type alkaline phosphatase,P09923,565
"c-Jun N-terminal kinase, JNK",P45983|P53779|P45984,565
Tyrosinase,P14679,567
