Target,Accessions
High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B,O95263
Calcium/calmodulin-dependent protein kinase type 1B,Q6P2M8
Aldehyde dehydrogenase, dimeric NADP-preferring,P30838
Serine/threonine-protein kinase Nek10,Q6ZWH5
Intermediate conductance calcium-activated potassium channel protein 4,O15554
Chymotrypsinogen B,P17538
Phosphatidylethanolamine-binding protein 1,P30086
Cysteine--tRNA ligase, cytoplasmic,P49589
Obg-like ATPase 1,Q9NTK5
Adrenergic receptor beta; ADRB1 & ADRB2,P08588|P07550
Toll-like receptor 5,O60602
Trifunctional purine biosynthetic protein adenosine-3,P22102
Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Retinal dehydrogenase 2,O94788
Protein ENL,Q03111
3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,P56937
Gamma-aminobutyric acid type B receptor subunit 1,Q9UBS5
Inositol hexakisphosphate kinase 1,Q92551
mTORC2,P42345|Q6R327|Q9BVC4|Q9BPZ7
Serine/threonine-protein kinase AKT,P31751|Q9Y243|P31749
Microsomal triglyceride transfer protein large subunit,P55157
Lanosterol synthase,P48449
CDK1/Cyclin A,P06493|P20248
Solute carrier family 22 member 2,O15244
Granzyme B,P10144
Vascular cell adhesion protein 1,P19320
Peroxisomal acyl-coenzyme A oxidase 1,Q15067
ORAI1/STIM1,Q96D31|Q13586
Complement factor B,P00751
Beta-galactosidase,P16278
Cytochrome c oxidase subunit 2,P00403
Lysine-specific demethylase 5C,P41229
Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,O00443
ATP-dependent RNA helicase DDX42,Q86XP3
Chymotrypsin,Q99895|P17538|P40313|Q6GPI1
DNA polymerase alpha catalytic subunit,P09884
Mas-related G-protein coupled receptor member X1,Q96LB2
Intercellular adhesion molecule 1,P05362
Tissue factor,P13726
RNA demethylase ALKBH5,Q6P6C2
P2X purinoceptor 1,P51575
Phosphodiesterase; PDE3 & PDE4,P27815|Q14432|Q08499|Q07343|Q13370|Q08493
Beta-glucosidase,Q9HCG7
UDP-glucuronosyltransferase 1A9,O60656
DNA ligase 1,P18858
Nischarin,Q9Y2I1
OTU domain-containing protein 7B,Q6GQQ9
Complement C1s subcomponent,P09871
Von Hippel-Lindau disease tumor suppressor/Elongin B/Elongin C,P40337|Q15370|Q15369
UDP-glucuronosyltransferase 1A4,P22310
Class 1 histone deacetylase,Q13547|O15379|Q92769|Q9BY41
Cereblon/Ikaros,Q96SW2|Q13422
Glucagon-like peptide 2 receptor,O95838
Ribonucleoside-diphosphate reductase RR1,P23921|Q7LG56|P31350
Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial,Q9P2R7
Potassium voltage-gated channel subfamily A member 1,Q09470
Protein mono-ADP-ribosyltransferase PARP3,Q9Y6F1
Aldo-keto reductase family 1 member B10,O60218
Bifunctional purine biosynthesis protein ATIC,P31939
IgG receptor FcRn large subunit p51,P55899
Glutamate receptor ionotropic AMPA,P48058|P42263|P42262|P42261
Signal recognition particle receptor subunit alpha,P08240
Retinaldehyde dehydrogenase 3,P47895
Galanin receptor type 2,O43603
Pancreatic triacylglycerol lipase,P16233
Short transient receptor potential channel 6,Q9Y210
Adrenergic receptors; alpha-1 A & B,P35348|P35368
Transcriptional enhancer factor TEF-3,Q15561
Glutamate receptor ionotropic, kainate 2,Q13002
Cholesterol 24-hydroxylase,Q9Y6A2
Sodium channel alpha subunits; brain (Types I, II, III),P35498|Q99250|Q9NY46
Glycine receptor alpha-3/beta,O75311|P48167
N-arachidonyl glycine receptor,Q14330
Vasoactive intestinal polypeptide receptor 2,P41587
Acyl-CoA dehydrogenase family member 11,Q709F0
Serine protease hepsin,P05981
Hemoglobin HbA,P69905|P68871
Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta,O43924
Fascin,Q16658
Kynurenine 3-monooxygenase,O15229
Uracil nucleotide/cysteinyl leukotriene receptor,Q13304
Neuromedin-B receptor,P28336
Sodium- and chloride-dependent GABA transporter 1,P30531
Myosin-14,Q7Z406
Proteasome subunit beta type-9,P28065
CDK9/Cyclin K,P50750|O75909
Rab-like protein 3,Q5HYI8
Potassium voltage-gated channel subfamily KQT member 2,O43526
Aurora kinase B/Inner centromere protein,Q96GD4|Q9NQS7
Acyl-CoA dehydrogenase family member 10,Q6JQN1
Angiotensin-converting enzyme 2,Q9BYF1
Transmembrane protease serine 6,Q8IU80
Kir3.1/Kir3.2,P48549|P48051
Ubiquitin carboxyl-terminal hydrolase isozyme L1,P09936
Receptor-type tyrosine-protein phosphatase alpha,P18433
Structural maintenance of chromosomes protein 1A,Q14683
Ubiquitin carboxyl-terminal hydrolase 1/WD repeat-containing protein 48,O94782|Q8TAF3
Protein cereblon/Tyrosine-protein kinase BTK,Q06187|Q96SW2
N-lysine methyltransferase SMYD2,Q9NRG4
Lysophosphatidic acid receptor 5,Q9H1C0
Probable G-protein coupled receptor 142,Q7Z601
Muscarinic acetylcholine receptor M2 and M4,P08173|P08172
Protein cereblon/Bromodomain-containing protein 4,O60885|Q96SW2
Bromodomain adjacent to zinc finger domain protein 2A,Q9UIF9
Signal transducer and activator of transcription 5A,P42229
Phospholipase A2 group V,P39877
Ras-related protein Rab-27A,P51159
Eukaryotic translation initiation factor 4H,Q15056
Kallikrein-5,Q9Y337
ATP-dependent 6-phosphofructokinase, platelet type,Q01813
Free fatty acid receptor 3,O14843
Ras and Rab interactor 1/Tyrosine-protein kinase ABL1,P00519|Q13671
JAK3/JAK1,P52333|P23458
Histone-binding protein RBBP4/Polycomb protein EED/Polycomb protein SUZ12/Zinc finger protein AEBP2,O75530|Q15022|Q6ZN18|Q09028
Galectin-8,O00214
Cannabinoid receptor,P34972|P21554
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,Q9P0J0
Sodium channel protein type 3 subunit alpha,Q9NY46
GTP-binding protein 4,Q9BZE4
Ras-related protein Rab-6A,P20340
Disintegrin and metalloproteinase domain-containing protein 10,O14672
Monoamine oxidase,P21397|P27338
Muscarinic acetylcholine receptor M1 and M3,P20309|P11229
Perilipin-1,O60240
Transient receptor potential cation channel subfamily M member 6,Q9BX84
Sialidase-2,Q9Y3R4
COUP transcription factor 2,P24468
Putative heat shock protein HSP 90-beta 2,Q58FF8
cAMP-dependent protein kinase catalytic subunit gamma,P22612
Neuromedin-U receptor 2,Q9GZQ4
Carbonic anhydrases; II & IX,P00918|Q16790
Tankyrase 1/2,Q9H2K2|O95271
DNA replication licensing factor MCM4,P33991
Hepcidin,P81172
Actin-related protein 3,P61158
Ribose-phosphate pyrophosphokinase 1,P60891
Ras-related protein Rab-10,P61026
Hydroxycarboxylic acid receptor 1,Q9BXC0
NADPH oxidase 4,Q9NPH5
Synaptic vesicular amine transporter,Q05940
Cytochrome c1, heme protein, mitochondrial,P08574
M-phase inducer phosphatase 3,P30307
Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2,P37231|Q9Y618
Ubiquitin-like modifier-activating enzyme ATG7,O95352
Midasin,Q9NU22
Probable ATP-dependent RNA helicase DDX6,P26196
Baculoviral IAP repeat-containing protein 3,Q13489
Nuclear receptor coactivator 1,Q15788
GABA-A receptor; alpha-6/beta-3/gamma-2,P18507|P28472|Q16445
Peptidyl-prolyl cis-trans isomerase FKBP4,Q02790
Nuclear receptor coactivator 3,Q9Y6Q9
Interleukin-8 receptors, CXCR1/CXCR2,P25025|P25024
Adenosine receptors; A1 & A2a,P30542|P29274
Serotonin 2 (5-HT2) receptor,P41595|P28223|P28335
Very long-chain specific acyl-CoA dehydrogenase, mitochondrial,P49748
Structural maintenance of chromosomes protein 2,O95347
Phosphatidylinositol 4-kinase alpha,P42356
Cry1/Cry2,Q49AN0|Q16526
Neuromedin-U receptor 1,Q9HB89
Diacylglycerol kinase zeta,Q13574
Septin-9,Q9UHD8
ADP/ATP translocase 3,P12236
Phenylalanine--tRNA ligase beta subunit,Q9NSD9
Peroxisomal acyl-coenzyme A oxidase 3,O15254
General transcription and DNA repair factor IIH helicase subunit XPD,P18074
Dynamin-like GTPase OPA1, mitochondrial,O60313
5'-AMP-activated protein kinase subunit gamma-2,Q9UGJ0
Uncharacterized protein FLJ45252,Q6ZSR9
26S proteasome regulatory subunit 6B,P43686
AarF domain-containing protein kinase 1,Q86TW2
Elongation factor Tu, mitochondrial,P49411
Glycine--tRNA ligase,P41250
Exosome RNA helicase MTR4,P42285
GTP-binding nuclear protein Ran,P62826
DnaJ homolog subfamily A member 1,P31689
Neuropilin-1,O14786
cAMP-dependent protein kinase type II-alpha regulatory subunit,P13861
Microtubule-associated serine/threonine-protein kinase 1,Q9Y2H9
RNA cytidine acetyltransferase,Q9H0A0
ATP-dependent RNA helicase DDX1,Q92499
ADP/ATP translocase 2,P05141
Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,O14638
Integrin alpha-V/beta-8,P06756|P26012
Neuropeptide FF receptor 1,Q9GZQ6
Vesicular acetylcholine transporter,Q16572
Hormonally up-regulated neu tumor-associated kinase,P57058
Sterol O-acyltransferase 2,O75908
Sialidase-3,Q9UQ49
Phosphoglycerate kinase,P00558|P07205
Dynamin-1,Q05193
Transient receptor potential cation channel subfamily M member 2,O94759
Cathepsin L2,O60911
Coagulation factor XIII A chain,P00488
Advanced glycosylation end product-specific receptor,Q15109
Uncharacterized serine/threonine-protein kinase SBK3,P0C264
Adenylate kinase 2, mitochondrial,P54819
Cyclin-dependent kinase 15,Q96Q40
UDP-glucuronosyltransferase 1A1,P22309
Integrin alpha-V/beta-1,P05556|P06756
Serotonin 1 receptors; 5-HT1B & 5-HT1D,P28222|P28221
Adenosine receptors; A1 & A2b,P30542|P29275
5'-AMP-activated protein kinase subunit gamma-1,P54619
Bcl-2-related protein A1,Q16548
DNA (cytosine-5)-methyltransferase 3A,Q9Y6K1
HSP60/HSP10,P10809|P61604
Thrombin & trypsin,P00734|P07477|P07478|P35030
DNA-binding protein Ikaros,Q13422
Cytochrome P450 26A1,O43174
Actin-related protein 2,P61160
Mitogen-activated protein kinase kinase kinase 15,Q6ZN16
High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A,O60658
Choline kinase alpha,P35790
Fatty acid-binding protein, heart,P05413
Acrosin,P10323
NPC1-like intracellular cholesterol transporter 1,Q9UHC9
Legumain,Q99538
Pyridoxal kinase,O00764
Protein arginine N-methyltransferase 8,Q9NR22
Serine/threonine-protein kinase/endoribonuclease IRE2,Q76MJ5
Endothelin receptor, ET-A/ET-B,P24530|P25101
Serine/threonine-protein kinase 32A,Q8WU08
Chromodomain-helicase-DNA-binding protein 4,Q14839
Mitogen-activated protein kinase 4,P31152
Ankyrin repeat and protein kinase domain-containing protein 1,Q8NFD2
Protein mono-ADP-ribosyltransferase PARP10,Q53GL7
Hexokinase-1,P19367
Heat shock protein 75 kDa, mitochondrial,Q12931
2-acylglycerol O-acyltransferase 2,Q3SYC2
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1,P19174
Potassium channel subfamily K member 2,O95069
TAK1/TAB1,Q15750|O43318
NEDD8 activating enzyme,Q8TBC4|Q13564
Tryptase beta-1,Q15661
Neuropeptide FF receptor 2,Q9Y5X5
Serine/threonine-protein kinase 36,Q9NRP7
CTP synthase 1,P17812
Ribonucleotide reductase,P23921|Q7LG56
Myosin-IIIa,Q8NEV4
Neurotensin receptor type 2,O95665
Dopamine receptors; D3 & D4,P35462|P21917
Serine/threonine-protein kinase 35,Q8TDR2
STE20-related kinase adapter protein alpha,Q7RTN6
Breakpoint cluster region protein,P11274
Multidrug and toxin extrusion protein 2,Q86VL8
Dual serine/threonine and tyrosine protein kinase,Q6XUX3
Heme oxygenase 2,P30519
Galanin receptor type 3,O60755
Protein polybromo-1,Q86U86
Serine/threonine-protein kinase MAK,P20794
Cyclin-dependent kinase-like 3,Q8IVW4
Hemoglobin subunit beta,P68871
Lactoylglutathione lyase,Q04760
Catechol O-methyltransferase,P21964
Adenosine deaminase,P00813
Dual specificity mitogen-activated protein kinase kinase; MEK1/2,P36507|Q02750
Thyrotropin-releasing hormone receptor,P34981
Vascular endothelial growth factor receptor,P17948|P35916|P35968
Tyrosine--tRNA ligase, cytoplasmic,P54577
Wee1-like protein kinase 2,P0C1S8
Aldehyde oxidase,Q06278
Serine/threonine-protein kinase VRK1,Q99986
Serine/threonine-protein kinase SBK1,Q52WX2
Atypical kinase COQ8B, mitochondrial,Q96D53
Troponin, cardiac muscle,P63316|P19429|P45379
Delta(24)-sterol reductase,Q15392
Lutropin-choriogonadotropic hormone receptor,P22888
Serine/threonine-protein kinase RIO3,O14730
Neuronal acetylcholine receptor; alpha9/alpha10,Q9UGM1|Q9GZZ6
Glutamate receptor ionotropic, kainate 1,P39086
Growth arrest-specific protein 6,Q14393
Mitogen-activated protein kinase kinase kinase 13,O43283
G protein-coupled receptor kinase 3,P35626
EKC/KEOPS complex subunit TP53RK,Q96S44
Malonyl-CoA decarboxylase, mitochondrial,O95822
Mucolipin-3,Q8TDD5
Adenylate cyclase type 1,Q08828
Serine/threonine-protein kinase WNK1,Q9H4A3
Peripheral plasma membrane protein CASK,O14936
Chromatin remodeling regulator CECR2,Q9BXF3
Protein cereblon/Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,Q96SW2|P15170
Fibroblast growth factor receptor,P22607|P11362|P22455|P21802
Hepatic sodium/bile acid cotransporter,Q14973
UDP-glucuronosyltransferase 2B7,P16662
Dopamine receptors; D2 & D4,P14416|P21917
Tyrosine-protein kinase receptor Tie-1,P35590
Toll-like receptor 1/2,O60603|Q15399
Opioid receptors; mu/kappa/delta,P41145|P41143|P35372
C3a anaphylatoxin chemotactic receptor,Q16581
Transcription initiation factor TFIID subunit 1,P21675
Hydroxycarboxylic acid receptor 3,P49019
Serine/threonine-protein kinase RIO1,Q9BRS2
Histone-lysine N-methyltransferase EHMT1,Q9H9B1
Ubiquitin carboxyl-terminal hydrolase 9X,Q93008
Metabotropic glutamate receptor 6,O15303
Metabotropic glutamate receptor 8,O00222
Casein kinase I isoform alpha-like,Q8N752
Serine/threonine-protein kinase DCLK3,Q9C098
Serine/threonine-protein kinase LATS,Q9NRM7|O95835
Sphingosine-1-phosphate lyase 1,O95470
Toll-like receptor 3,O15455
Phospholipid hydroperoxide glutathione peroxidase GPX4,P36969
Serine/threonine-protein kinase PRP4 homolog,Q13523
Phenylethanolamine N-methyltransferase,P11086
Lysophosphatidic acid receptor 2,Q9HBW0
SNF-related serine/threonine-protein kinase,Q9NRH2
CREB-binding protein/Histone acetyltransferase p300,Q09472|Q92793
Cyclin-dependent kinase 11A,Q9UQ88
Multidrug and toxin extrusion protein 1,Q96FL8
Cyclin-dependent kinase-like 2,Q92772
C-C chemokine receptor type 8,P51685
Gastrin-releasing peptide receptor,P30550
U5 small nuclear ribonucleoprotein 200 kDa helicase,O75643
mTORC1,P42345|Q8N122|Q9BVC4
Thymidine phosphorylase,P19971
Cyclin-dependent kinase 11B,P21127
Protein arginine N-methyltransferase 3,O60678
Transcription factor Jun,P05412
Protein cereblon/Androgen receptor,P10275|Q96SW2
Melanin-concentrating hormone receptor 2,Q969V1
Acid ceramidase,Q13510
CAAX prenyl protease 2,Q9Y256
COX-1/COX-2,P35354|P23219
Chromobox protein homolog 7,O95931
Acetylcholine receptor; alpha1/beta1/delta/gamma,P02708|P07510|P11230|Q07001
METTL3/METTL14,Q86U44|Q9HCE5
Receptor-interacting serine/threonine-protein kinase 4,P57078
Adenosine receptors; A2a & A3,P0DMS8|P29274
Short transient receptor potential channel 5,Q9UL62
Serine/threonine-protein kinase NIM1,Q8IY84
Excitatory amino acid transporter 1,P43003
Ubiquitin carboxyl-terminal hydrolase 25,Q9UHP3
Tryptase,Q9BZJ3|Q15661|Q9NRR2
Prolactin-releasing peptide receptor,P49683
Myosin-IIIb,Q8WXR4
1-phosphatidylinositol 3-phosphate 5-kinase,Q9Y2I7
DCN1-like protein 1,Q96GG9
Adenosine receptors; A2b & A3,P29275|P0DMS8
Cyclin-dependent kinase 18,Q07002
Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,P22234
Solute carrier organic anion transporter family member 2B1,O94956
Cytochrome P450 3A5,P20815
Cyclin-dependent kinase 14,O94921
Catenin beta-1,P35222
Phospholipase D2,O14939
Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3),O43526|O43525
Squalene synthase,P37268
Stromelysin-2,P09238
Prokineticin receptor 1,Q8TCW9
Mas-related G-protein coupled receptor member X4,Q96LA9
Glutathione reductase, mitochondrial,P00390
Prostaglandin E synthase 2,Q9H7Z7
Acidic mammalian chitinase,Q9BZP6
Monoamine transporters; serotonin & dopamine,P31645|Q01959
Excitatory amino acid transporter 3,P43005
Receptor-type tyrosine-protein phosphatase beta,P23467
Histone-lysine N-methyltransferase SETD7,Q8WTS6
Mitogen-activated protein kinase kinase kinase 19,Q56UN5
T1R1/T1R3,Q7RTX0|Q7RTX1
Monoacylglycerol lipase ABHD6,Q9BV23
Activin receptor type-2A,P27037
Lysophosphatidic acid receptor 3,Q9UBY5
Chitotriosidase-1,Q13231
Peptidyl-prolyl cis-trans isomerase FKBP5,Q13451
Hypoxanthine-guanine phosphoribosyltransferase,P00492
Small ubiquitin-related modifier 1,P63165
RNA 5'-monophosphate methyltransferase,Q7Z5W3
Sulfonylurea receptors; K-ATP channels,Q14654|O60706|Q09428|Q15842
Serine hydroxymethyltransferase, mitochondrial,P34897
NADPH oxidase 1,Q9Y5S8
Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,Q99755
Taste receptor type 2 member 8,Q9NYW2
Serine/threonine-protein kinase 32B,Q9NY57
Cytochrome P450,P08684|P04798|P33260|P20815|P05177|P78329|P11712|P51589|P33261|P10632|P10635|Q02928|P20813|Q16678|P11509|Q9HB55|P05181|P24462|Q8TAV3|Q08477|Q16696|P98187|P20853|P24903|Q6VVX0|Q96SQ9|Q7Z449|Q5TCH4|P13584
Phospholipase D1,Q13393
Vascular endothelial growth factor A, long form,P15692
G protein-coupled receptor kinase 4,P32298
Serine/threonine-protein kinase Nek5,Q6P3R8
TCF4/beta-catenin,P35222|Q9NQB0
2-Hydroxyacid oxidase 1,Q9UJM8
Myosin light chain kinase family member 4,Q86YV6
Phosphatidylinositol 3-kinase regulatory subunit alpha,P27986
Potassium-transporting ATPase,P20648|P51164
Signal transducer and activator of transcription 6,P42226
KiSS-1 receptor,Q969F8
Solute carrier family 22 member 1,O15245
Ephrin type-A receptor 6,Q9UF33
Ceramide glucosyltransferase,Q16739
Sodium channel protein type 2 subunit alpha,Q99250
Excitatory amino acid transporter 2,P43004
Ubiquitin carboxyl-terminal hydrolase 28,Q96RU2
Serine/threonine-protein kinase 32C,Q86UX6
Sodium/hydrogen exchanger 1,P19634
17-beta-hydroxysteroid dehydrogenase 13,Q7Z5P4
G-protein coupled receptor 183,P32249
Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial,Q8N5Z0
Neuropeptide Y receptor type 4,P50391
Exportin-1,O14980
Cyclin-C/Cyclin-dependent kinase 19,Q9BWU1|P24863
Chymotrypsin-C,Q99895
STE20/SPS1-related proline-alanine-rich protein kinase,Q9UEW8
CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase),Q9UBU7|O00311
Interleukin-1 beta,P01584
beta-catenin-B-cell lymphoma 9 protein complex,P35222|O00512
Metabotropic glutamate receptor 3,Q14832
Adenosylhomocysteinase,P23526
Aldo-keto reductase family 1 member C4,P17516
Microtubule-associated protein 1 light chain 3 beta,Q9GZQ8
ATP-dependent Clp protease proteolytic subunit, mitochondrial,Q16740
3',5'-cyclic-AMP phosphodiesterase 4C,Q08493
Receptor tyrosine-protein kinase erbB-3,P21860
Sodium/potassium-transporting ATPase,P05023|P14415|P05026|P50993|P54709|P13637|Q13733|P54710
Nicotinamide N-methyltransferase,P40261
Voltage-dependent T-type calcium channel subunit alpha-1I,Q9P0X4
Glutathione S-transferase P,P09211
LSD1/CoREST complex,O60341|Q9UKL0
Casein kinase 2,P67870|P68400|P19784|Q8NEV1
Ubiquitin carboxyl-terminal hydrolase 14,P54578
Membrane-bound ghrelin O-acyltransferase MBOAT4,Q96T53
Alpha amylase,P0DUB6
Hormone-sensitive lipase,Q05469
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4,P51532
Relaxin receptor 2,Q8WXD0
Cyclin-T1,O60563
Nuclear receptor subfamily 1 group I member 3,Q14994
Thrombopoietin receptor,P40238
Thymidine kinase, cytosolic,P04183
Diacylglycerol lipase-alpha,Q9Y4D2
G-protein coupled receptor 52,Q9Y2T5
Leukotriene B4 receptor,Q9NPC1|Q15722
Aldehyde dehydrogenase, mitochondrial,P05091
17-beta-hydroxysteroid dehydrogenase type 3,P37058
Cyclin-dependent kinase-like 5,O76039
Major prion protein,P04156
Histone acetyltransferase p300/Histone acetyltransferase type B catalytic subunit,Q09472|O14929
Probable G-protein coupled receptor 139,Q6DWJ6
Metabotropic glutamate receptor 7,Q14831
Nuclear receptor subfamily 5 group A member 2,O00482
Nuclear receptor subfamily 4 group A member 2,P43354
Plasminogen activator inhibitor 1,P05121
Bombesin receptor subtype-3,P32247
Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial,P33316
Protein arginine N-methyltransferase 6,Q96LA8
Corticotropin-releasing factor receptor 2,Q13324
Glutamate receptor 1,P42261
Transcriptional enhancer factor TEF-1,P28347
GTPase NRas,P01111
Mitogen-activated protein kinase kinase kinase 10,Q02779
Deoxycytidine kinase,P27707
Glycogen phosphorylase, brain form,P11216
SOS1-KRAS,Q07889|P01116
Sodium/calcium exchanger 1,P32418
Perforin-1,P14222
Period circadian protein homolog 2,O15055
Hepatocyte nuclear factor 4-alpha,P41235
Rhodopsin kinase GRK1,Q15835
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,P78356
Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma,O75747
Cocaine esterase,O00748
Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,O60331
Monocarboxylate transporter 1,P53985
P-selectin,P16109
Estrogen-related receptor gamma,P62508
Tolloid-like protein 2,Q9Y6L7
Lysine-specific demethylase 6B,O15054
Carboxypeptidase B2,Q96IY4
Kir3.1/Kir3.4,P48549|P48544
Ileal sodium/bile acid cotransporter,Q12908
Tolloid-like protein 1,O43897
Serine/threonine-protein kinase tousled-like 1,Q9UKI8
Porphobilinogen deaminase,P08397
C-C chemokine receptor type 9,P51686
Serine/threonine-protein kinase WNK3,Q9BYP7
Solute carrier family 15 member 1,P46059
Cholecystokinin receptor,P32239|P32238
Myosin light chain kinase 2, skeletal/cardiac muscle,Q9H1R3
Fibroblast growth factor 22,Q9HCT0
ATP-dependent RNA helicase DDX3X,O00571
DNA repair and recombination protein RAD54-like,Q92698
Steroidogenic factor 1,Q13285
Thrombopoietin,P40225
Endoplasmin,P14625
Vitamin K-dependent protein C,P04070
Proteinase-activated receptor 2,P55085
Endoplasmic reticulum aminopeptidase 2,Q6P179
Cyclin-dependent kinase-like 1,Q00532
Nuclear receptor ROR-alpha,P35398
Serine/threonine-protein kinase A-Raf,P10398
Calcium-activated potassium channel subunit alpha-1,Q12791
Galectin-1,P09382
Retinol-binding protein 4,P02753
Steroid hormone receptor ERR1,P11474
Potassium channel subfamily K member 9,Q9NPC2
ATPase family AAA domain-containing protein 2,Q6PL18
Soluble guanylate cyclase alpha1/beta1 complex,Q02153|Q02108
Acetyl-coenzyme A synthetase, cytoplasmic,Q9NR19
Monocarboxylate transporter 4,O15427
Programmed cell death 1 ligand 1/2,Q9NZQ7|Q9BQ51
Hepatic triacylglycerol lipase,P11150
Bromodomain testis-specific protein,Q58F21
Mitogen-activated protein kinase kinase kinase 8,P41279
Arginase-1,P05089
Anoctamin-1,Q5XXA6
Opioid growth factor receptor-like protein 1,Q5TC84
PI3-kinase class I,P27986|P42338|P48736|P42336|O00459|O00329|Q8WYR1|Q92569
P2X purinoceptor 4,Q99571
Serine/threonine-protein kinase WNK2,Q9Y3S1
EZH2/SUZ12/EED complex,Q15910|O75530|Q15022
G protein-coupled receptor 88,Q9GZN0
Hematopoietic prostaglandin D synthase,O60760
Hexokinase HKDC1,Q2TB90
DNA repair protein RAD51 homolog 1,Q06609
Adhesion G-protein coupled receptor F1,Q5T601
Purine nucleoside phosphorylase,P00491
Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha,Q16665|Q99814
Solute carrier family 2, facilitated glucose transporter member 4,P14672
Protein-S-isoprenylcysteine O-methyltransferase,O60725
P2Y purinoceptor 4,P51582
Serine/threonine-protein kinase 38-like,Q9Y2H1
Serine/threonine-protein kinase OSR1,O95747
Ephrin type-B receptor 6,O15197
Ketohexokinase,P50053
26S proteasome non-ATPase regulatory subunit 14,O00487
NAD-dependent protein deacylase sirtuin-6,Q8N6T7
Transcription factor p65,Q04206
Sodium channel protein type 4 subunit alpha,P35499
Tyrosine-protein kinase Mer/Tyrosine-protein kinase receptor UFO,P30530|Q12866
Calcium/calmodulin-dependent protein kinase kinase 1,Q8N5S9
Carbonic anhydrase 3,P07451
Serine/threonine-protein kinase MRCK gamma,Q6DT37
Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1,Q00975|Q02410
Histone-lysine N-methyltransferase, H3 lysine-79 specific,Q8TEK3
Cyclin-dependent kinase 17,Q00537
Pyruvate dehydrogenase kinase,Q15119|Q15120|Q16654|Q15118
Myosin light chain kinase,Q32MK0
Scaffold protein ILK,Q13418
von Hippel-Lindau disease tumor suppressor,P40337
Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A,Q9HCR9
Sentrin-specific protease 1,Q9P0U3
M-phase inducer phosphatase 1,P30304
Growth factor receptor-bound protein 2,P62993
Glutamate receptor 2,P42262
Geranylgeranyl pyrophosphate synthase,O95749
Nuclear receptor subfamily 4immunitygroup A member 1,P22736
Carbonic anhydrase 13,Q8N1Q1
Chemerin-like receptor 1,Q99788
Methionine aminopeptidase 1,P53582
Serine/threonine-protein kinase ICK,Q9UPZ9
Pantetheinase,O95497
Serotonin 3 (5-HT3) receptor,P46098|A5X5Y0|O95264|Q70Z44|Q8WXA8
GTP-binding protein Rheb,Q15382
Mitogen-activated protein kinase kinase kinase 6,O95382
Phosphodiesterase 1,P54750|Q01064|Q14123
Eukaryotic translation initiation factor 4E,P06730
Lysosomal Pro-X carboxypeptidase,P42785
Interleukin-2,P60568
SUMO-activating enzyme,Q9UBE0|Q9UBT2
A disintegrin and metalloproteinase with thrombospondin motifs 4,O75173
Atypical kinase COQ8A, mitochondrial,Q8NI60
Platelet-derived growth factor receptor,P09619|P16234
dCTP pyrophosphatase 1,Q9H773
Eukaryotic translation initiation factor 2-alpha kinase 3,Q9NZJ5
Solute carrier family 2, facilitated glucose transporter member 2,P11168
20S proteasome,P49721|P20618|P28074|P28062|P28065|P28072|P25786|P25787|P25788|P25789|P28066|P60900|O14818|Q8TAA3|P40306|A5LHX3|P49720|P28070|Q99436
Photoreceptor-specific nuclear receptor,Q9Y5X4
Melatonin receptor,P48039|P49286
Ferroportin,Q9NP59
Activin receptor type-2B,Q13705
Stearoyl-CoA desaturase 5,Q86SK9
Translocator protein,P30536
Protein disulfide-isomerase,P07237
Cytochrome P450 4A11,Q02928
Nuclear receptor ROR-beta,Q92753
Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Retinoic acid receptor RXR-gamma,P48443
