Target,Accessions
Proteasomal ubiquitin receptor ADRM1/Bromodomain-containing protein 2,P25440|Q16186
Transcription factor SOX-17,Q9H6I2
Hyaluronan-binding protein 2,Q14520
Golgi integral membrane protein 4,O00461
Protein jagged-1,P78504
ALK-KIF5B,Q9UM73|P33176
Zinc finger BED domain-containing protein 4,O75132
Protein cereblon/Nuclear receptor coactivator 2,Q15596|Q96SW2
Pyruvate dehydrogenase protein X component, mitochondrial,O00330
GPI ethanolamine phosphate transferase 3, catalytic subunit,Q8TEQ8
HEC1/NEK2,P51955|O14777
Protein fem-1 homolog B/Lysine-specific histone demethylase 1A,O60341|Q9UK73
Serpin B8,P50452
Leukocyte receptor cluster member 8,Q96PV6
Pantothenate kinase 2, mitochondrial,Q9BZ23
Protein cereblon/45 kDa calcium-binding protein,Q96SW2|Q9BRK5
Septin-6,Q14141
V-set and immunoglobulin domain-containing protein 8,P0DPA2
von Hippel-Lindau disease tumor suppressor/T-box transcription factor T,P40337|O15178
Death domain-associated protein 6,Q9UER7
Nitric oxide synthase-interacting protein,Q9Y314
Coilin,P38432
Cytospin-A,Q69YQ0
Hornerin,Q86YZ3
Splicing factor 3B subunit 4,Q15427
Leucine-rich repeat-containing protein 40,Q9H9A6
Arginine and glutamate-rich protein 1,Q9NWB6
C-C motif chemokine 22,O00626
Chromatin-remodeling ATPase INO80,Q9ULG1
Origin recognition complex subunit 5,O43913
Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],P50583
Ubiquitin-conjugating enzyme E2 variant 1,Q13404
Histone H2A type 2-B,Q8IUE6
DNA-binding protein SATB2,Q9UPW6
Protein phosphatase 1 regulatory subunit 15A,O75807
Probable arginine--tRNA ligase, mitochondrial,Q5T160
Deoxyguanosine kinase, mitochondrial,Q16854
von Hippel-Lindau disease tumor suppressor/Inhibitor of nuclear factor kappa-B kinase subunit epsilon,Q14164|P40337
26S proteasome non-ATPase regulatory subunit 13,Q9UNM6
Serine/threonine-protein phosphatase 1 regulatory subunit 10,Q96QC0
Mediator of DNA damage checkpoint protein 1,Q14676
tRNA (34-2'-O)-methyltransferase regulator WDR6,Q9NNW5
PITH domain-containing protein 1,Q9GZP4
Protein PML,P29590
Kinesin-like protein KIF24,Q5T7B8
