UniProt,Compounds
Q86VH2,1
Q86VZ1,2
Q86X76,1
Q86Y34,2
Q86YI8,2
Q8IUZ5,1
Q8IWK6,2
Q8IWR1,1
Q8IWU2,1
Q8IWV7,2
Q8IWV8,2
Q8IXT5,2
Q8IY67,1
Q8IZF2,2
Q8IZF3,2
Q8IZF4,2
Q8IZF5,2
Q8IZF7,2
Q8IZL8,1
Q8IZP9,2
Q8IZW8,1
Q8N122,2
Q8N183,1
Q8N1S5,1
Q8N2G8,1
Q8N4V1,1
Q8N5G2,1
Q8N5U6,1
Q8N6U8,2
Q8N766,1
Q8N8A2,2
Q8NA31,1
Q8NBJ5,1
Q8NC38,1
Q8NCQ2,1
Q8NDV2,2
Q8NE86,1
Q8NEB9|Q99570,1
Q8NEH6,1
Q8NEW0,1
Q8NEY8,1
Q8NFA2,1
Q8NFJ5,2
Q8NFN8,2
Q8NGU9,2
Q8NI36,1
Q8TAD4,1
Q8TAF3|P62068|Q8TBZ3,2
Q8TAF3|Q8TBZ3|O75317,2
Q8TB72,1
Q8TCD5,2
Q8TCT7,2
Q8TDN6,1
Q8TDS7,2
Q8TDT2,2
Q8TDV2,2
Q8TEA8,1
Q8TEQ8,1
Q8TF40|Q9UK73,1
Q8TF72,1
Q8WU58,1
Q8WUA4,1
Q8WUK0,2
Q8WVM8,1
Q8WVV4,1
Q8WW12,1
Q8WWI5,1
Q8WY22,1
Q8WYA6,1
Q8WZ60,1
Q92575,1
Q92599,1
Q92685,1
Q92696,2
Q92729,2
Q92772|P40337,1
Q92786,1
Q92800|P40337,2
Q92804,1
Q92900,1
Q92917,1
Q92953,2
Q969M7,1
Q969N2,1
Q969N4,2
Q969V3,1
Q969V4,1
Q969X5,1
Q969Z0,1
Q96A23,1
Q96A26,1
Q96AA3,1
Q96AM1,2
Q96BI1,1
Q96BY9,1
Q96C36,1
Q96D31|Q13586|Q9P246,2
Q96D96,1
Q96DV4,1
Q96EG1,1
Q96EL2,1
Q96ER3,1
Q96EY7,1
Q96EY8,1
Q96F07,1
Q96G74,2
Q96H79,1
Q96HC4,1
Q96HY6,1
Q96I15,1
Q96I24,1
Q96I36,1
Q96I99,1
Q96IU4,1
Q96JI7,1
Q96JT2,2
Q96KA5,1
Q96KP4,1
Q96KR1,1
Q96LW7,1
Q96NJ6,1
Q96P66,2
Q96P67,2
Q96P69,2
Q96PE1,2
Q96PK6,1
Q96QU8,1
Q96R06,1
Q96RI1|P40337,2
Q96RI8,2
Q96RI9,2
Q96RP8,2
Q96RP9,1
Q96RQ3,1
Q96RT1|Q99569,2
Q96S97,1
Q96SW2|O15155,1
Q96SW2|Q13619|P15170,1
Q96SW2|Q16531|Q15561,1
Q96SW2|Q8NDF8,1
Q96T37,1
Q96T54,2
Q96TA1,1
Q99081,1
Q99259,2
Q99417,1
Q99426,1
Q99442,1
Q99527|P40337,2
Q99547,1
Q99575,1
Q99653,1
Q99678,2
Q99679,2
Q99680,2
Q99805,1
Q99814|Q96SW2,2
Q99958,1
Q9BPX5,1
Q9BQA1,2
Q9BQG0,1
Q9BRK5,1
Q9BRP8,1
Q9BRQ8,1
Q9BRY0,1
Q9BS26,1
Q9BT09,1
Q9BTX1,1
Q9BUB7,1
Q9BUL8,1
Q9BUV8,1
Q9BVC4,1
Q9BVG9,1
Q9BWH6,1
Q9BWJ5,1
Q9BWM7,1
Q9BX66,1
Q9BX79,1
Q9BXJ8,1
Q9BXK5,1
Q9BXR0,2
Q9BXU3,1
Q9BXW4,2
Q9BXW7,1
Q9BY21,2
Q9BYD2,1
Q9BZE1,1
Q9BZF9,1
Q9BZJ6,2
Q9BZJ7,2
Q9BZJ8,2
Q9BZK7,1
Q9BZZ5,1
Q9C037,1
Q9C0E2,1
Q9GZT3,1
Q9GZX7,2
Q9GZZ6,1
Q9H061,1
Q9H089,1
Q9H0M4,2
Q9H0R8,2
Q9H1C4,1
Q9H1R2,2
Q9H1Y3,2
Q9H3P7,1
Q9H3Z4,1
Q9H444,1
Q9H4L5,1
Q9H4Y5,2
Q9H5Q4,1
Q9H7X0,2
Q9H814,1
Q9H840,2
Q9H845,1
Q9H8Y8|P57087,2
Q9H939,1
Q9H974,1
Q9H9A5,2
Q9HAW4,1
Q9HB21,2
Q9HBW9,2
Q9HBX8,2
Q9HC35,1
Q9HC38,1
Q9HCF6,2
Q9HDC9,1
Q9NP31,2
Q9NP78,1
Q9NPB1,2
Q9NPE3,1
Q9NQ84,2
Q9NQR4,1
Q9NQT4,1
Q9NR31,2
Q9NRM2,1
Q9NS66,2
Q9NS69,1
Q9NSD7|Q8TDU9,1
Q9NSI8,1
Q9NTI5,1
Q9NTJ5,1
Q9NTZ6,1
Q9NUI1,1
Q9NUQ2,1
Q9NUQ6,1
Q9NVC3,1
Q9NVJ2,1
Q9NVS2,1
Q9NVS9,2
Q9NWZ3|P98170,2
Q9NX40,1
Q9NX55,1
Q9NX58,1
Q9NXE4,1
Q9NXF1,1
Q9NXF8,2
Q9NXH9,1
Q9NXW2,1
Q9NY12,1
Q9NYM4,2
Q9NZ43,1
Q9NZD1,2
Q9NZH0,2
Q9NZL9,1
Q9P013,1
Q9P0I2,1
Q9P0L0,1
Q9P0S9,1
Q9P1P5,2
Q9P287,1
Q9P2W9,1
Q9P2Y5,1
Q9UBD5,1
Q9UBN7|P05161,2
Q9UBP0,2
Q9UBQ5,1
Q9UBS4,1
Q9UBT2,1
Q9UBU8,2
Q9UBU9,1
Q9UD71,1
Q9UG63,1
Q9UGJ1,1
Q9UHA2,1
Q9UHD9,1
Q9UHI7,2
Q9UI26,1
Q9UID3,1
Q9UJ70,1
Q9UJS0,1
Q9UJX3,1
Q9UK41,1
Q9UKR5,1
Q9UKV0|P40337,2
Q9UKV0|Q96SW2,1
Q9UKX7,1
Q9UKY7,1
Q9UKZ1,2
Q9UL62|P48995,2
Q9ULV4,1
Q9ULX6,1
Q9UM11,1
Q9UM73|Q92734,1
Q9UMX0,1
Q9UN86,1
Q9UNF0,1
Q9UNM6,1
Q9UNN5,2
Q9UNP9,1
Q9UNQ2,1
Q9UNS2,1
Q9UNZ2,1
Q9UP83,1
Q9UPP1|Q6ZMT4,1
Q9UQ88|P21127,1
Q9UQL6|Q96SW2,2
Q9Y223,2
Q9Y224,1
Q9Y241,1
Q9Y289,1
Q9Y2A7,1
Q9Y2B0,1
Q9Y2L1,1
Q9Y2Q9,1
Q9Y2T2,1
Q9Y2V2,1
Q9Y2X3,1
Q9Y397,2
Q9Y399,1
Q9Y3A5,1
Q9Y3B3,1
Q9Y3B7,1
Q9Y3B9,1
Q9Y3D6,1
Q9Y3E0,1
Q9Y3L5,1
Q9Y450,1
Q9Y490,1
Q9Y4A5,1
Q9Y4P3,1
Q9Y530,1
Q9Y5J1,1
Q9Y5J7,1
Q9Y5L4,1
Q9Y5Q8,1
Q9Y5Q9,1
Q9Y5X1,1
Q9Y5Y3,2
Q9Y653,2
Q9Y676,1
Q9Y679,1
Q9Y6A5,1
Q9Y6D5,2
Q9Y6E2,1
Q9Y6I8,1
Q9Y6M9,1
Q9Y6W5,1
Q9Y6W8,2
Q9Y6Y8,1
A1A4Y4,1
A4D1B5,3
O00144,3
O00762,3
O14804,3
O14967,3
O15067,2
O15226,3
O15264|Q96SW2,2
O15379|Q9UK73,3
O15547,3
O43189,3
O43396,2
O43741|Q9UGJ0|Q13131,2
O43772,3
